username,cursornum,primary_id,cursor_id,x,y,rotated_angle,diameter,window_size,delay,speed_rate,time
f,20,0,0,0,0,0,10,1080,500,2,0
f,20,1,4,0,0,0.7853982,10,1080,500,2,0
f,20,2,1,0,0,1.047198,10,1080,500,2,0
f,20,3,5,0,0,1.308997,10,1080,500,2,0
f,20,4,2,0,0,1.570796,10,1080,500,2,0
f,20,5,10,0,0,1.832596,10,1080,500,2,0
f,20,6,16,0,0,2.094395,10,1080,500,2,0
f,20,7,9,0,0,2.356194,10,1080,500,2,0
f,20,8,3,0,0,2.617994,10,1080,500,2,0
f,20,9,7,0,0,2.879793,10,1080,500,2,0
f,20,10,11,0,0,3.141593,10,1080,500,2,0
f,20,11,14,0,0,3.403392,10,1080,500,2,0
f,20,12,18,0,0,3.665191,10,1080,500,2,0
f,20,13,13,0,0,3.926991,10,1080,500,2,0
f,20,14,6,0,0,4.18879,10,1080,500,2,0
f,20,15,8,0,0,4.45059,10,1080,500,2,0
f,20,16,17,0,0,4.712389,10,1080,500,2,0
f,20,17,15,0,0,4.974188,10,1080,500,2,0
f,20,18,19,0,0,5.235988,10,1080,500,2,0
f,20,19,12,0,0,5.497787,10,1080,500,2,0
f,20,0,0,-354.9825,-122.1177,0,10,1080,500,2,0
f,20,1,4,130.7399,98.30769,0.7853982,10,1080,500,2,0
f,20,2,1,-19.23767,-283.1108,1.047198,10,1080,500,2,0
f,20,3,5,243.1531,-141.2703,1.308997,10,1080,500,2,0
f,20,4,2,291.6041,314.4637,1.570796,10,1080,500,2,0
f,20,5,10,196.3589,-516.8267,1.832596,10,1080,500,2,0
f,20,6,16,-105.5508,270.1342,2.094395,10,1080,500,2,0
f,20,7,9,419.8279,-35.47772,2.356194,10,1080,500,2,0
f,20,8,3,425.3187,-259.7416,2.617994,10,1080,500,2,0
f,20,9,7,-194.0081,203.0989,2.879793,10,1080,500,2,0
f,20,10,11,-235.2514,475.5899,3.141593,10,1080,500,2,0
f,20,11,14,-136.4275,-444.9067,3.403392,10,1080,500,2,0
f,20,12,18,-287.3252,390.9278,3.665191,10,1080,500,2,0
f,20,13,13,113.9216,-405.4873,3.926991,10,1080,500,2,0
f,20,14,6,-361.0126,-21.17236,4.18879,10,1080,500,2,0
f,20,15,8,-185.4249,-486.2235,4.45059,10,1080,500,2,0
f,20,16,17,123.7759,227.3477,4.712389,10,1080,500,2,0
f,20,17,15,336.8179,427.5656,4.974188,10,1080,500,2,0
f,20,18,19,-219.1816,177.678,5.235988,10,1080,500,2,0
f,20,19,12,-530.3799,-48.5766,5.497787,10,1080,500,2,0
f,20,0,0,-354.9825,-122.1177,0,10,1080,500,2,0.02000046
