username,cursornum,primary_id,cursor_id,x,y,rotated_angle,time
k,20,0,6,0,0,0,0
k,20,1,9,0,0,0.7853982,0
k,20,2,17,0,0,1.047198,0
k,20,3,1,0,0,1.308997,0
k,20,4,14,0,0,1.570796,0
k,20,5,0,0,0,1.832596,0
k,20,6,18,0,0,2.094395,0
k,20,7,19,0,0,2.356194,0
k,20,8,11,0,0,2.617994,0
k,20,9,5,0,0,2.879793,0
k,20,10,12,0,0,3.141593,0
k,20,11,3,0,0,3.403392,0
k,20,12,13,0,0,3.665191,0
k,20,13,7,0,0,3.926991,0
k,20,14,16,0,0,4.18879,0
k,20,15,4,0,0,4.45059,0
k,20,16,10,0,0,4.712389,0
k,20,17,15,0,0,4.974188,0
k,20,18,8,0,0,5.235988,0
k,20,19,2,0,0,5.497787,0
k,20,0,6,-357.782,-109.6877,0,0
k,20,1,9,379.9629,-89.57062,0.7853982,0
k,20,2,17,-538.3546,-502.685,1.047198,0
k,20,3,1,527.7969,-150.6625,1.308997,0
k,20,4,14,-325.6299,-138.0193,1.570796,0
k,20,5,0,386.9896,52.07977,1.832596,0
k,20,6,18,-2.203796,465.6635,2.094395,0
k,20,7,19,405.0488,-155.0591,2.356194,0
k,20,8,11,374.6357,-466.5281,2.617994,0
k,20,9,5,228.7947,-101.6687,2.879793,0
k,20,10,12,106.1564,494.0099,3.141593,0
k,20,11,3,386.6283,-272.0255,3.403392,0
k,20,12,13,433.4016,106.9863,3.665191,0
k,20,13,7,-432.6689,452.3283,3.926991,0
k,20,14,16,498.5001,-461.6821,4.18879,0
k,20,15,4,-78.05119,137.8785,4.45059,0
k,20,16,10,-220.2072,-323.6621,4.712389,0
k,20,17,15,-158.4854,5.748169,4.974188,0
k,20,18,8,145.7816,18.9754,5.235988,0
k,20,19,2,-329.3255,-431.5361,5.497787,0
k,20,0,6,-357.782,-109.6877,0,0.01999855
k,20,1,9,379.9629,-89.57062,0.7853982,0.01999855
k,20,2,17,-538.3546,-502.685,1.047198,0.01999855
k,20,3,1,527.7969,-150.6625,1.308997,0.01999855
k,20,4,14,-325.6299,-138.0193,1.570796,0.01999855
k,20,5,0,386.9896,52.07977,1.832596,0.01999855
k,20,6,18,-2.203796,465.6635,2.094395,0.01999855
k,20,7,19,405.0488,-155.0591,2.356194,0.01999855
k,20,8,11,374.6357,-466.5281,2.617994,0.01999855
k,20,9,5,228.7947,-101.6687,2.879793,0.01999855
k,20,10,12,106.1564,494.0099,3.141593,0.01999855
k,20,11,3,386.6283,-272.0255,3.403392,0.01999855
k,20,12,13,433.4016,106.9863,3.665191,0.01999855
k,20,13,7,-432.6689,452.3283,3.926991,0.01999855
k,20,14,16,498.5001,-461.6821,4.18879,0.01999855
k,20,15,4,-78.05119,137.8785,4.45059,0.01999855
k,20,16,10,-220.2072,-323.6621,4.712389,0.01999855
k,20,17,15,-158.4854,5.748169,4.974188,0.01999855
k,20,18,8,145.7816,18.9754,5.235988,0.01999855
k,20,19,2,-329.3255,-431.5361,5.497787,0.01999855
k,20,0,6,-357.782,-109.6877,0,0.02828598
k,20,1,9,379.9629,-89.57062,0.7853982,0.02828598
k,20,2,17,-538.3546,-502.685,1.047198,0.02828598
k,20,3,1,527.7969,-150.6625,1.308997,0.02828598
k,20,4,14,-325.6299,-138.0193,1.570796,0.02828598
k,20,5,0,386.9896,52.07977,1.832596,0.02828598
k,20,6,18,-2.203796,465.6635,2.094395,0.02828598
k,20,7,19,405.0488,-155.0591,2.356194,0.02828598
k,20,8,11,374.6357,-466.5281,2.617994,0.02828598
k,20,9,5,228.7947,-101.6687,2.879793,0.02828598
k,20,10,12,106.1564,494.0099,3.141593,0.02828598
k,20,11,3,386.6283,-272.0255,3.403392,0.02828598
k,20,12,13,433.4016,106.9863,3.665191,0.02828598
k,20,13,7,-432.6689,452.3283,3.926991,0.02828598
k,20,14,16,498.5001,-461.6821,4.18879,0.02828598
k,20,15,4,-78.05119,137.8785,4.45059,0.02828598
k,20,16,10,-220.2072,-323.6621,4.712389,0.02828598
k,20,17,15,-158.4854,5.748169,4.974188,0.02828598
k,20,18,8,145.7816,18.9754,5.235988,0.02828598
k,20,19,2,-329.3255,-431.5361,5.497787,0.02828598
k,20,0,6,-357.782,-109.6877,0,0.03196526
k,20,1,9,379.9629,-89.57062,0.7853982,0.03196526
k,20,2,17,-538.3546,-502.685,1.047198,0.03196526
k,20,3,1,527.7969,-150.6625,1.308997,0.03196526
k,20,4,14,-325.6299,-138.0193,1.570796,0.03196526
k,20,5,0,386.9896,52.07977,1.832596,0.03196526
k,20,6,18,-2.203796,465.6635,2.094395,0.03196526
k,20,7,19,405.0488,-155.0591,2.356194,0.03196526
k,20,8,11,374.6357,-466.5281,2.617994,0.03196526
k,20,9,5,228.7947,-101.6687,2.879793,0.03196526
k,20,10,12,106.1564,494.0099,3.141593,0.03196526
k,20,11,3,386.6283,-272.0255,3.403392,0.03196526
k,20,12,13,433.4016,106.9863,3.665191,0.03196526
k,20,13,7,-432.6689,452.3283,3.926991,0.03196526
k,20,14,16,498.5001,-461.6821,4.18879,0.03196526
k,20,15,4,-78.05119,137.8785,4.45059,0.03196526
k,20,16,10,-220.2072,-323.6621,4.712389,0.03196526
k,20,17,15,-158.4854,5.748169,4.974188,0.03196526
k,20,18,8,145.7816,18.9754,5.235988,0.03196526
k,20,19,2,-329.3255,-431.5361,5.497787,0.03196526
k,20,0,6,-357.782,-109.6877,0,0.03586578
k,20,1,9,379.9629,-89.57062,0.7853982,0.03586578
k,20,2,17,-538.3546,-502.685,1.047198,0.03586578
k,20,3,1,527.7969,-150.6625,1.308997,0.03586578
k,20,4,14,-325.6299,-138.0193,1.570796,0.03586578
k,20,5,0,386.9896,52.07977,1.832596,0.03586578
k,20,6,18,-2.203796,465.6635,2.094395,0.03586578
k,20,7,19,405.0488,-155.0591,2.356194,0.03586578
k,20,8,11,374.6357,-466.5281,2.617994,0.03586578
k,20,9,5,228.7947,-101.6687,2.879793,0.03586578
k,20,10,12,106.1564,494.0099,3.141593,0.03586578
k,20,11,3,386.6283,-272.0255,3.403392,0.03586578
k,20,12,13,433.4016,106.9863,3.665191,0.03586578
k,20,13,7,-432.6689,452.3283,3.926991,0.03586578
k,20,14,16,498.5001,-461.6821,4.18879,0.03586578
k,20,15,4,-78.05119,137.8785,4.45059,0.03586578
k,20,16,10,-220.2072,-323.6621,4.712389,0.03586578
k,20,17,15,-158.4854,5.748169,4.974188,0.03586578
k,20,18,8,145.7816,18.9754,5.235988,0.03586578
