username,cursornum,primary_id,cursor_id,x,y,rotated_angle,time
o,4,0,0,0,0,0,0
o,4,1,2,0,0,0.7853982,0
o,4,2,3,0,0,3.141593,0
o,4,3,1,0,0,5.497787,0
o,4,0,0,52.76495,270.6199,0,0
o,4,1,2,176.9384,-287.2306,0.7853982,0
o,4,2,3,143.4529,439.0764,3.141593,0
o,4,3,1,180.9355,-180.8344,5.497787,0
o,4,0,0,52.76495,270.6199,0,0.02000427
o,4,1,2,176.9384,-287.2306,0.7853982,0.02000427
o,4,2,3,143.4529,439.0764,3.141593,0.02000427
o,4,3,1,180.9355,-180.8344,5.497787,0.02000427
o,4,0,0,52.76495,270.6199,0,0.02802277
o,4,1,2,176.9384,-287.2306,0.7853982,0.02802277
o,4,2,3,143.4529,439.0764,3.141593,0.02802277
o,4,3,1,180.9355,-180.8344,5.497787,0.02802277
o,4,0,0,52.76495,270.6199,0,0.03659821
o,4,1,2,176.9384,-287.2306,0.7853982,0.03659821
o,4,2,3,143.4529,439.0764,3.141593,0.03659821
o,4,3,1,180.9355,-180.8344,5.497787,0.03659821
o,4,0,0,51.51495,270.6199,0,0.03973389
o,4,1,2,176.0545,-288.1145,0.7853982,0.03973389
o,4,2,3,144.7029,439.0764,3.141593,0.03973389
o,4,3,1,180.0517,-179.9505,5.497787,0.03973389
o,4,0,0,51.51495,270.6199,0,0.04362488
o,4,1,2,176.0545,-288.1145,0.7853982,0.04362488
o,4,2,3,144.7029,439.0764,3.141593,0.04362488
o,4,3,1,180.0517,-179.9505,5.497787,0.04362488
o,4,0,0,51.51495,270.6199,0,0.06848145
o,4,1,2,176.0545,-288.1145,0.7853982,0.06848145
o,4,2,3,144.7029,439.0764,3.141593,0.06848145
o,4,3,1,180.0517,-179.9505,5.497787,0.06848145
o,4,0,0,41.51495,270.6199,0,0.07597351
o,4,1,2,168.9834,-295.1855,0.7853982,0.07597351
o,4,2,3,154.7029,439.0764,3.141593,0.07597351
o,4,3,1,172.9806,-172.8795,5.497787,0.07597351
o,4,0,0,35.26495,270.6199,0,0.0847702
o,4,1,2,164.564,-299.6049,0.7853982,0.0847702
o,4,2,3,160.9529,439.0764,3.141593,0.0847702
o,4,3,1,168.5612,-168.46,5.497787,0.0847702
o,4,0,0,26.51495,270.6199,0,0.09246826
