username,cursornum,primary_id,cursor_id,x,y,rotated_angle,diameter,window_size,delay,speed_rate,time
oga,10,0,7,0,0,0,10,1080,0,1,0
oga,10,1,3,0,0,0.7853982,10,1080,0,1,0
oga,10,2,4,0,0,1.374447,10,1080,0,1,0
oga,10,3,5,0,0,1.963495,10,1080,0,1,0
oga,10,4,1,0,0,2.552544,10,1080,0,1,0
oga,10,5,2,0,0,3.141593,10,1080,0,1,0
oga,10,6,0,0,0,3.730641,10,1080,0,1,0
oga,10,7,8,0,0,4.31969,10,1080,0,1,0
oga,10,8,6,0,0,4.908739,10,1080,0,1,0
oga,10,9,9,0,0,5.497787,10,1080,0,1,0
oga,10,0,7,432.8362,16.81329,0,10,1080,0,1,0
oga,10,1,3,154.8779,402.4794,0.7853982,10,1080,0,1,0
oga,10,2,4,-186.289,166.2501,1.374447,10,1080,0,1,0
oga,10,3,5,-192.8179,-5.415649,1.963495,10,1080,0,1,0
oga,10,4,1,119.1012,-245.7048,2.552544,10,1080,0,1,0
oga,10,5,2,-276.2582,-395.6058,3.141593,10,1080,0,1,0
oga,10,6,0,166.6862,279.1214,3.730641,10,1080,0,1,0
oga,10,7,8,-268.5105,-460.7357,4.31969,10,1080,0,1,0
oga,10,8,6,472.3248,-313.4477,4.908739,10,1080,0,1,0
oga,10,9,9,-23.88647,332.8364,5.497787,10,1080,0,1,0
oga,10,0,7,432.8362,16.81329,0,10,1080,0,1,0.02000046
oga,10,1,3,154.8779,402.4794,0.7853982,10,1080,0,1,0.02000046
oga,10,2,4,-186.289,166.2501,1.374447,10,1080,0,1,0.02000046
oga,10,3,5,-192.8179,-5.415649,1.963495,10,1080,0,1,0.02000046
oga,10,4,1,119.1012,-245.7048,2.552544,10,1080,0,1,0.02000046
oga,10,5,2,-276.2582,-395.6058,3.141593,10,1080,0,1,0.02000046
oga,10,6,0,166.6862,279.1214,3.730641,10,1080,0,1,0.02000046
oga,10,7,8,-268.5105,-460.7357,4.31969,10,1080,0,1,0.02000046
oga,10,8,6,472.3248,-313.4477,4.908739,10,1080,0,1,0.02000046
oga,10,9,9,-23.88647,332.8364,5.497787,10,1080,0,1,0.02000046
oga,10,0,7,432.8362,16.81329,0,10,1080,0,1,0.0241394
oga,10,1,3,154.8779,402.4794,0.7853982,10,1080,0,1,0.0241394
oga,10,2,4,-186.289,166.2501,1.374447,10,1080,0,1,0.0241394
oga,10,3,5,-192.8179,-5.415649,1.963495,10,1080,0,1,0.0241394
oga,10,4,1,119.1012,-245.7048,2.552544,10,1080,0,1,0.0241394
oga,10,5,2,-276.2582,-395.6058,3.141593,10,1080,0,1,0.0241394
oga,10,6,0,166.6862,279.1214,3.730641,10,1080,0,1,0.0241394
oga,10,7,8,-268.5105,-460.7357,4.31969,10,1080,0,1,0.0241394
oga,10,8,6,472.3248,-313.4477,4.908739,10,1080,0,1,0.0241394
oga,10,9,9,-23.88647,332.8364,5.497787,10,1080,0,1,0.0241394
oga,10,0,7,432.8362,16.81329,0,10,1080,0,1,0.03242111
oga,10,1,3,154.8779,402.4794,0.7853982,10,1080,0,1,0.03242111
oga,10,2,4,-186.289,166.2501,1.374447,10,1080,0,1,0.03242111
oga,10,3,5,-192.8179,-5.415649,1.963495,10,1080,0,1,0.03242111
oga,10,4,1,119.1012,-245.7048,2.552544,10,1080,0,1,0.03242111
oga,10,5,2,-276.2582,-395.6058,3.141593,10,1080,0,1,0.03242111
oga,10,6,0,166.6862,279.1214,3.730641,10,1080,0,1,0.03242111
oga,10,7,8,-268.5105,-460.7357,4.31969,10,1080,0,1,0.03242111
oga,10,8,6,472.3248,-313.4477,4.908739,10,1080,0,1,0.03242111
