username,cursornum,primary_id,cursor_id,x,y,rotated_angle,diameter,window_size,delay,speed_rate,time
oo,10,0,2,0,0,0,10,1080,1000,2,0
oo,10,1,8,0,0,0.7853982,10,1080,1000,2,0
oo,10,2,0,0,0,1.374447,10,1080,1000,2,0
oo,10,3,7,0,0,1.963495,10,1080,1000,2,0
oo,10,4,1,0,0,2.552544,10,1080,1000,2,0
oo,10,5,4,0,0,3.141593,10,1080,1000,2,0
oo,10,6,5,0,0,3.730641,10,1080,1000,2,0
oo,10,7,6,0,0,4.31969,10,1080,1000,2,0
oo,10,8,9,0,0,4.908739,10,1080,1000,2,0
oo,10,9,3,0,0,5.497787,10,1080,1000,2,0
oo,10,0,2,338.501,-96.44319,0,10,1080,1000,2,0
oo,10,1,8,528.7345,-321.2831,0.7853982,10,1080,1000,2,0
oo,10,2,0,-408.3356,-210.5806,1.374447,10,1080,1000,2,0
oo,10,3,7,-138.4807,90.91768,1.963495,10,1080,1000,2,0
oo,10,4,1,-127.5046,-99.84442,2.552544,10,1080,1000,2,0
oo,10,5,4,-15.93896,271.9409,3.141593,10,1080,1000,2,0
oo,10,6,5,-327.188,488.1828,3.730641,10,1080,1000,2,0
oo,10,7,6,293.0097,23.18903,4.31969,10,1080,1000,2,0
oo,10,8,9,-390.1081,-19.10175,4.908739,10,1080,1000,2,0
oo,10,9,3,-335.6663,-209.4015,5.497787,10,1080,1000,2,0
oo,10,0,2,338.501,-96.44319,0,10,1080,1000,2,0.01999664
oo,10,1,8,528.7345,-321.2831,0.7853982,10,1080,1000,2,0.01999664
oo,10,2,0,-408.3356,-210.5806,1.374447,10,1080,1000,2,0.01999664
oo,10,3,7,-138.4807,90.91768,1.963495,10,1080,1000,2,0.01999664
oo,10,4,1,-127.5046,-99.84442,2.552544,10,1080,1000,2,0.01999664
oo,10,5,4,-15.93896,271.9409,3.141593,10,1080,1000,2,0.01999664
oo,10,6,5,-327.188,488.1828,3.730641,10,1080,1000,2,0.01999664
oo,10,7,6,293.0097,23.18903,4.31969,10,1080,1000,2,0.01999664
oo,10,8,9,-390.1081,-19.10175,4.908739,10,1080,1000,2,0.01999664
oo,10,9,3,-335.6663,-209.4015,5.497787,10,1080,1000,2,0.01999664
oo,10,0,2,338.501,-96.44319,0,10,1080,1000,2,0.02761841
oo,10,1,8,528.7345,-321.2831,0.7853982,10,1080,1000,2,0.02761841
oo,10,2,0,-408.3356,-210.5806,1.374447,10,1080,1000,2,0.02761841
oo,10,3,7,-138.4807,90.91768,1.963495,10,1080,1000,2,0.02761841
oo,10,4,1,-127.5046,-99.84442,2.552544,10,1080,1000,2,0.02761841
oo,10,5,4,-15.93896,271.9409,3.141593,10,1080,1000,2,0.02761841
oo,10,6,5,-327.188,488.1828,3.730641,10,1080,1000,2,0.02761841
oo,10,7,6,293.0097,23.18903,4.31969,10,1080,1000,2,0.02761841
oo,10,8,9,-390.1081,-19.10175,4.908739,10,1080,1000,2,0.02761841
oo,10,9,3,-335.6663,-209.4015,5.497787,10,1080,1000,2,0.02761841
oo,10,0,2,338.501,-96.44319,0,10,1080,1000,2,0.03621674
oo,10,1,8,528.7345,-321.2831,0.7853982,10,1080,1000,2,0.03621674
oo,10,2,0,-408.3356,-210.5806,1.374447,10,1080,1000,2,0.03621674
oo,10,3,7,-138.4807,90.91768,1.963495,10,1080,1000,2,0.03621674
oo,10,4,1,-127.5046,-99.84442,2.552544,10,1080,1000,2,0.03621674
oo,10,5,4,-15.93896,271.9409,3.141593,10,1080,1000,2,0.03621674
oo,10,6,5,-327.188,488.1828,3.730641,10,1080,1000,2,0.03621674
oo,10,7,6,293.0097,23.18903,4.31969,10,1080,1000,2,0.03621674
oo,10,8,9,-390.1081,-19.10175,4.908739,10,1080,1000,2,0.03621674
oo,10,9,3,-335.6663,-209.4015,5.497787,10,1080,1000,2,0.03621674
oo,10,0,2,338.501,-96.44319,0,10,1080,1000,2,0.04412079
oo,10,1,8,528.7345,-321.2831,0.7853982,10,1080,1000,2,0.04412079
oo,10,2,0,-408.3356,-210.5806,1.374447,10,1080,1000,2,0.04412079
oo,10,3,7,-138.4807,90.91768,1.963495,10,1080,1000,2,0.04412079
oo,10,4,1,-127.5046,-99.84442,2.552544,10,1080,1000,2,0.04412079
oo,10,5,4,-15.93896,271.9409,3.141593,10,1080,1000,2,0.04412079
oo,10,6,5,-327.188,488.1828,3.730641,10,1080,1000,2,0.04412079
oo,10,7,6,293.0097,23.18903,4.31969,10,1080,1000,2,0.04412079
oo,10,8,9,-390.1081,-19.10175,4.908739,10,1080,1000,2,0.04412079
oo,10,9,3,-335.6663,-209.4015,5.497787,10,1080,1000,2,0.04412079
oo,10,0,2,338.501,-96.44319,0,10,1080,1000,2,0.06006622
oo,10,1,8,528.7345,-321.2831,0.7853982,10,1080,1000,2,0.06006622
oo,10,2,0,-408.3356,-210.5806,1.374447,10,1080,1000,2,0.06006622
oo,10,3,7,-138.4807,90.91768,1.963495,10,1080,1000,2,0.06006622
oo,10,4,1,-127.5046,-99.84442,2.552544,10,1080,1000,2,0.06006622
oo,10,5,4,-15.93896,271.9409,3.141593,10,1080,1000,2,0.06006622
oo,10,6,5,-327.188,488.1828,3.730641,10,1080,1000,2,0.06006622
oo,10,7,6,293.0097,23.18903,4.31969,10,1080,1000,2,0.06006622
oo,10,8,9,-390.1081,-19.10175,4.908739,10,1080,1000,2,0.06006622
oo,10,9,3,-335.6663,-209.4015,5.497787,10,1080,1000,2,0.06006622
oo,10,0,2,338.501,-96.44319,0,10,1080,1000,2,0.0721817
oo,10,1,8,528.7345,-321.2831,0.7853982,10,1080,1000,2,0.0721817
oo,10,2,0,-408.3356,-210.5806,1.374447,10,1080,1000,2,0.0721817
oo,10,3,7,-138.4807,90.91768,1.963495,10,1080,1000,2,0.0721817
oo,10,4,1,-127.5046,-99.84442,2.552544,10,1080,1000,2,0.0721817
oo,10,5,4,-15.93896,271.9409,3.141593,10,1080,1000,2,0.0721817
oo,10,6,5,-327.188,488.1828,3.730641,10,1080,1000,2,0.0721817
oo,10,7,6,293.0097,23.18903,4.31969,10,1080,1000,2,0.0721817
oo,10,8,9,-390.1081,-19.10175,4.908739,10,1080,1000,2,0.0721817
oo,10,9,3,-335.6663,-209.4015,5.497787,10,1080,1000,2,0.0721817
